Foto;Títol;Localització;Informació;Título;Localización;Información;;;;
miraculosa.jpg;Mare de Déu de la Medalla Miraculosa;Altar de la Mare de Déu de la Medalla Miraculosa;La Mare de Déu de la Medalla Miraculosa és una advocació mariana basada en una visió de la Verge Maria que tingué santa Catalina Labouré l’any 1830. La Verge se li aparegué dins d’un oval, dreta sobre un globus terraqüi, i amb anells a les mans dels quals sorgien raigs de llum en direcció al globus que, segons la Verge, representaven les gràcies que vessa sobre les persones que les demanen. L’oval estava emmarcat amb les paraules “Oh, Maria, concebuda sense pecat, pregau per nosaltres que recorrem a Vós”. Després l’oval girà i mostrà un cercle de 12 estrelles i, a l’interior, una lletra “M” a la base d’una creu i els Sagrats Cors de Jesús i Maria davall de la M. La Mare de Déu li encarregà que es fessin medalles amb aquestes imatges. Catalina ho explicà al seu confessor i, després de dos anys observant la vida de la religiosa, aquest ho comunicà al bisbe, que n’aprovà l’emissió. És la coneguda com la “Medalla Miraculosa”, que assolí molt aviat una gran popularitat.// Aquesta escultura, obra, com la resta de l’altar, de l’escultor Guillem Mas (s. XX), mostra la imatge habitual de la Verge a l’anvers de la Medalla Miraculosa: dreta sobre el món envoltat de niguls, amb els braços oberts, dels quals es desprenen raigs de llum i cintes, i amb la invocació mariana que envoltava l’oval gravada en el marc del nínxol.;Nuestra Señora de la Medalla Milagrosa;Altar de Nuestra Señora de la Medalla Milagrosa;La Virgen de la Medalla Milagrosa es una advocación mariana basada en una visión de la Virgen María que tuvo santa Catalina Labouré en 1830. La Virgen se le apareció dentro de un óvalo, de pie sobre un globo terráqueo y con anillos en las manos de los que brotaban rayos de luz dirigidos hacia el globo que, según la propia Virgen, representaban las gracias que derrama sobre las personas que las piden. El óvalo estaba enmarcado por las palabras “Oh María, sin pecado concebida, rogad por nosotros que recurrimos a Vos”. Después, el óvalo giró y mostró un círculo de doce estrellas y, en su interior, una letra “M” en la base de una cruz y los Sagrados Corazones de Jesús y de María bajo la M. La Virgen le encargó que se acuñaran medallas con estas imágenes. Catalina se lo explicó a su confesor y, tras dos años observando la vida de la religiosa, este lo comunicó al obispo, que aprobó su emisión. Es la conocida como “Medalla Milagrosa”, que alcanzó muy pronto una gran popularidad.// Esta escultura, obra, como el resto del altar, del escultor Guillem Mas (s. XX), muestra la imagen habitual de la Virgen en el anverso de la Medalla Milagrosa: de pie sobre el mundo rodeado de nubes, con los brazos abiertos, de los que brotan rayos de luz y cintas, y con la invocación mariana que rodeaba el óvalo grabada en el marco de la hornacina.;;;;
miraculosa1.jpg;Alfons de Ratisbona;Altar de la Mare de Déu de la Medalla Miraculosa;Alfons de Ratisbona (1814-1884) va ser un jueu francès convertit al catolicisme que dedicà la seva vida a l’evangelització dels jueus. Fill d’una família de banquers jueus d’Alsàcia, durant un viatge a Roma l’any 1842 un conegut li regalà una Medalla Miraculosa i li demanà que se la penjàs al coll. Pocs dies després, mentre visitava una basílica, se li aparegué la Mare de Déu de la Medalla Miraculosa. Arran d’aquella visió, es convertí al catolicisme, essent ordenat sacerdot l’any 1847. Juntament amb el seu germà Teodor (que s'havia convertit al catolicisme abans que ell) fundà i impulsà la Congregació de Nostra Senyora de Sion, dedicada a l’apostolat entre els jueus i a l’educació catòlica dels fills de famílies jueves.//Aquest relleu, obra, com la resta de l’altar, de Guillem Mas (s. XX), mostra l’aparició de la Verge Maria a Alfons de Ratisbona. La Verge hi apareix damunt niguls, envoltada de llum i vestida com una Puríssima, amb túnica blanca i mantell blau. La seva postura recorda la de la Verge de la Medalla Miraculosa: dreta, amb els braços oberts i irradiant raigs de llum de les mans cap al convertit. Alfons de Ratisbona hi apareix agenollat als seus peus, vestit elegantment segons la moda del segle XIX, amb el capell i el bastó deixats a terra.;Alfonso de Ratisbona;Altar de Nuestra Señora de la Medalla Milagrosa;Alfonso de Ratisbona (1814-1884) fue un judío francés convertido al catolicismo que dedicó su vida a la evangelización de los judíos. Hijo de una familia de banqueros judíos de Alsacia, durante un viaje a Roma en 1842 un conocido le regaló una Medalla Milagrosa y le pidió que se la colgara al cuello. Pocos días después, mientras visitaba una basílica, se le apareció la Virgen de la Medalla Milagrosa. A raíz de aquella visión, se convirtió al catolicismo, siendo ordenado sacerdote en 1847. Junto con su hermano Teodoro (que se había convertido al catolicismo antes que él), fundó e impulsó la Congregación de Nuestra Señora de Sión, dedicada al apostolado entre los judíos y a la educación católica de los hijos de familias judías.// Este relieve, obra, como el resto del altar, de Guillem Mas (s. XX), muestra la aparición de la Virgen María a Alfonso de Ratisbona. La Virgen aparece sobre nubes, rodeada de luz y vestida como una Inmaculada, con túnica blanca y manto azul. Su postura recuerda la de la Virgen de la Medalla Milagrosa: de pie, con los brazos abiertos e irradiando rayos de luz desde las manos hacia el convertido. Alfonso de Ratisbona aparece arrodillado a sus pies, vestido elegantemente según la moda del siglo XIX, con el sombrero y el bastón depositados en el suelo.;;;;
miraculosa2.jpg;Santa Catalina Labouré ;Altar de la Mare de Déu de la Medalla Miraculosa;Santa Catalina Labouré (1806-1876) va ser una Filla de la Caritat de sant Vicent de Paül a qui la Verge Maria es va aparèixer en diverses ocasions. En una d’elles li encarregà la confecció d’unes medalles basades en la manera com se li havia presentat en aquella visió. Catalina ho explicà al seu confessor. Després de dos anys observant la vida de la religiosa, aquest decidí comunicar-ho al bisbe sense revelar la identitat de Catalina, i el bisbe n’aprovà l’emissió: és la coneguda com la “Medalla Miraculosa”. Santa Catalina visqué la resta de la seva vida en l’anonimat i ningú, fora del seu confessor, no conegué les seves visions ni que era la responsable de la Medalla Miraculosa fins que, uns mesos abans de morir, ho explicà a la seva superiora.// Aquest relleu, obra, com la resta de l’altar, de Guillem Mas (s. XX), descriu la primera aparició de la Verge a santa Catalina Labouré. La nit del 18 de juliol de 1830, vigília de la festivitat de sant Vicent de Paül, la despertà un nin que li demanà que el seguís fins a la capella del convent. Allà la rebé la Verge Maria asseguda en una butaca. La religiosa s’agenollà als seus peus i recolzà les mans en pregària damunt els seus genolls. En aquella ocasió la Verge li donà diversos consells espirituals i li anuncià que més endavant Déu li encarregaria una missió, referint-se a la confecció de la medalla.;Santa Catalina Labouré;Altar de Nuestra Señora de la Medalla Milagrosa;Santa Catalina Labouré (1806-1876) fue una Hija de la Caridad de san Vicente de Paúl a quien la Virgen María se apareció en varias ocasiones. En una de ellas le encargó la confección de unas medallas basadas en la forma en que se le había presentado durante aquella visión. Catalina se lo explicó a su confesor. Después de dos años observando la vida de la religiosa, este decidió comunicarlo al obispo sin revelar la identidad de Catalina, y el obispo aprobó su emisión: es la conocida como la “Medalla Milagrosa”. Santa Catalina vivió el resto de su vida en el anonimato y nadie, salvo su confesor, conoció sus visiones ni que era la responsable de la Medalla Milagrosa hasta que, unos meses antes de morir, se lo explicó a su superiora.// Este relieve, obra, como el resto del altar, de Guillem Mas (s. XX), describe la primera aparición de la Virgen a santa Catalina Labouré. La noche del 18 de julio de 1830, víspera de la festividad de san Vicente de Paúl, la despertó un niño que le pidió que lo siguiera hasta la capilla del convento. Allí la recibió la Virgen María sentada en un sillón. La religiosa se arrodilló a sus pies y apoyó las manos en actitud de oración sobre sus rodillas. En aquella ocasión la Virgen le dio diversos consejos espirituales y le anunció que más adelante Dios le encomendaría una misión, refiriéndose a la confección de la medalla.;;;;
emblema_maria_miraculosa.jpg;Emblema de l’envers de la Medalla Miraculosa;Altar de la Mare de Déu de la Medalla Miraculosa;Aquest emblema és el revers de la Medalla Miraculosa tal com va ser revelada per la Verge Maria a santa Catalina Labouré. El formen una lletra “M” a la base d’una creu i, a sota, el Sagrat Cor de Jesús (rodejat d’espines) i l’Immaculat Cor de Maria (envoltat d’una corona de roses i travessat per una espasa). Tot el conjunt està envoltat per un cercle de dotze estrelles. L’autor de l’altar de la Mare de Déu de la Medalla Miraculosa va ser Guillem Mas (s. XX);Emblema del reverso de la Medalla Milagrosa;Altar de Nuestra Señora de la Medalla Milagrosa;Este emblema es el reverso de la Medalla Milagrosa tal como fue revelada por la Virgen María a santa Catalina Labouré. Está formado por una letra «M» en la base de una cruz y, abajo, el Sagrado Corazón de Jesús (rodeado de espinas) y el Inmaculado Corazón de María (rodeado por una corona de rosas y atravesado por una espada). Todo el conjunto está rodeado por un círculo de doce estrellas. El autor del altar de Nuestra Señora de la Medalla Milagrosa fue Guillem Mas (s. XX).;;;;
amor_divi.jpg;Mare de Déu de l’Amor Hermós;Altar de la Mare de Déu de la Medalla Miraculosa;La Mare de Déu de l’Amor Hermós és una advocació de la Verge Maria que prové del llibre de l’Eclesiàstic (24:18), on la Saviesa divina diu: “Jo som la mare de l’amor hermós”. El seu culte està associat a la celebració del mes de maig com a mes de Maria i va ser impulsat a Espanya per la Cort de Maria, un moviment religiós del segle XIX adreçat principalment a dones joves i fadrines. A Vilafranca es fundà una obreria vinculada a la Cort de Maria l’any 1853.// Aquesta pintura reprodueix el model oficial de la Mare de Déu de l’Amor Hermós difós a mitjan segle XIX per la Cort de Maria en forma d’estampes i litografies, basat en un gravat d’Antonio Pascual. La Verge hi apareix jove i serena, dreta en actitud elegant i majestuosa, seguint l’ideal femení de pietat i puresa promogut per la Cort de Maria. Vesteix com una Puríssima, amb túnica blanca i mantell blau, reforçant aquest ideal femení de devoció mariana. La corona representa el seu paper com a “Reina de tots els sants”, un dels títols que rep la Verge en aquesta advocació. El mantell obert i sostingut per dos angelets simbolitza la protecció que ofereix als seus devots.// Aquesta pintura presidí fins a mitjan segle XX l’actual altar del Sagrat Cor.;Madre del Amor Hermoso;Altar de Nuestra Señora de la Medalla Milagrosa;La Madre del Amor Hermoso es una advocación de la Virgen María que procede del libro del Eclesiástico (24:18), donde la Sabiduría divina dice: «Yo soy la madre del amor hermoso». Su culto está asociado a la celebración del mes de mayo como mes de María y fue impulsado en España por la Corte de María, un movimiento religioso del siglo XIX dirigido principalmente a mujeres jóvenes y solteras. En Vilafranca se fundó una cofradía vinculada a la Corte de María en 1853.// Esta pintura reproduce el modelo oficial de la Madre del Amor Hermoso difundido a mediados del siglo XIX por la Corte de María en forma de estampas y litografías, basado en un grabado de Antonio Pascual. La Virgen aparece joven y serena, de pie, con una actitud elegante y majestuosa, siguiendo el ideal femenino de piedad y pureza promovido por la Corte de María. Viste como una Inmaculada, con túnica blanca y manto azul, reforzando dicho ideal femenino de devoción mariana. La corona representa su papel como “Reina de todos los santos”, uno de los títulos que recibe la Virgen María en esta advocación. El manto abierto y sostenido por dos angelitos simboliza la protección que ofrece a sus devotos.// Esta pintura presidió hasta mediados del siglo XX el actual altar del Sagrado Corazón.;;;;
pietat.jpg;Pietat;Altar de la Pietat;Aquesta escena de la Pietat ens mostra a Jesús mort, acabat de davallar de la creu, sobre la falda de la seva mare, la Verge Maria. Darrere d’ells hi ha la creu de la crucifixió de la qual penja un llençol blanc formant una M, símbol de Maria. En terra hi ha la corona d’espines, que recorda els turments patits per Jesús durant la Passió.;Piedad;Altar de la Piedad;Esta escena de la Piedad nos muestra a Jesús muerto, recién bajado de la cruz, sobre el regazo de su madre, la Virgen María. Detrás de ellos se alza la cruz de la crucifixión, de la que cuelga una sábana blanca formando una M, símbolo de María. En el suelo se encuentra la corona de espinas, que recuerda los tormentos sufridos por Jesús durante la Pasión.;;;;
escut_cinc_llagues.jpg;Escut de les Cinc Llagues;Altar de la Pietat;L’escut de les Cinc Llagues és la representació simbòlica de les ferides que Jesús va patir durant la Passió: les quatre a mans i peus pels claus de la crucifixió, i la del costat produïda per la llança de Longí.;Escudo de las Cinco Llagas;Altar de la Piedad;El escudo de las Cinco Llagas es la representación simbólica de las heridas que Jesús sufrió durante la Pasión: las cuatro de las manos y los pies debidas a los clavos de la crucifixión, y la del costado producida por la lanza de Longinos.;;;;
crismo.jpg;Crismó;Altar de la Pietat;El crismó es un dels símbols cristians més antics. Es tracta d’un monograma compost per les dues primeres lletres majúscules de la paraula “Crist” en grec, superposades: la khi (X) i la rho (P). Als costats hi apareixen la primera i la darrera lletra de l’alfabet grec, alfa (A) i omega (Ω), per recordar que Jesucrist és “l’Alfa i l’Omega, el primer i el darrer, el principi i la fi”.;Crismón;Altar de la Piedad;El crismón es uno de los símbolos cristianos más antiguos. Se trata de un monograma compuesto por las dos primeras letras mayúsculas de la palabra “Cristo” en griego, superpuestas: la ji (X) y la rho (P). A ambos lados aparecen la primera y la última letra del alfabeto griego, alfa (A) y omega (Ω), para recordar que Jesucristo es “el Alfa y la Omega, el primero y el último, el principio y el fin”.;;;;
casa_santa.jpeg;Urna de la Casa Santa;Altar de la Pietat;"La Casa Santa és un altar o monument efímer que es munta entre el Dijous i el Divendres Sant per a la reserva eucarística. Com que el Divendres Sant no se celebra el sagrament de l'Eucaristia com a mostra de dol per la mort de Jesús, el Dijous Sant s'han de consagrar més formes perquè els fidels puguin combregar l'endemà. Les formes reservades per al Divendres es guarden en una urna com aquesta, que es col·loca sobre un altar ornamentat de manera solemne.// L’urna de Vilafranca està decorada amb diversos “emblemes de la Passió”, objectes associats al patiment i la mort de Jesucrist que amb el temps s’han convertit en símbols de devoció cristiana. En concret hi apareixen els següents: l’escala utilitzada durant la crucifixió i el davallament de la creu; la llança amb què el soldat Longí travessà el costat de Jesús; l’espongera amb què li oferiren vinagre per beure; el vel de la Verònica amb la Santa Faç; la columna on Jesús va ser lligat i assotat; el flagell amb què va ser assotat; el martell amb què li clavaren els claus, i les tenalles amb què el desclavaren. A la coberta de l’urna hi ha un anyell jacent que simbolitza Jesucrist, l’Anyell de Déu, sacrificat pels pecats del món. Darrere seu hi apareix una resplendor de rajos que simbolitza la seva glòria divina.";Urna de la Casa Santa;Altar de la Piedad;"La Casa Santa es un altar o monumento efímero que se instala entre el Jueves y el Viernes Santo para la reserva eucarística. Como el Viernes Santo no se celebra el sacramento de la Eucaristía en señal de luto por la muerte de Jesús, el Jueves Santo tienen que consagrarse más formas para que los fieles puedan comulgar al día siguiente. Las formas reservadas para el Viernes Santo se guardan en una urna como esta, que se coloca sobre un altar solemnemente ornamentado.// La urna de Vilafranca está decorada con diversos “emblemas de la Pasión”, objetos asociados al sufrimiento y la muerte de Jesucristo que con el tiempo se han convertido en símbolos de devoción cristiana. En concreto aparecen los siguientes: la escalera utilizada durante la crucifixión y el descendimiento de la cruz; la lanza con la que el soldado Longinos atravesó el costado de Jesús; la esponja con la que le ofrecieron vinagre para beber; el velo de la Verónica con la Santa Faz; la columna donde Jesús fue atado y azotado; el flagelo con el que fue azotado; el martillo con el que le clavaron los clavos, y las tenazas con las que lo desclavaron. En la cubierta de la urna hay un cordero yacente que simboliza a Jesucristo, el Cordero de Dios, sacrificado por los pecados del mundo. Detrás de él aparece un resplandor de rayos que simboliza su gloria divina.";;;;
emblemes_passio_vexila_1.jpg;Emblemes de la Passió;Altar de la Pietat;"Els emblemes de la Passió, o *Arma Christi*, són un conjunt d’objectes associats al patiment i la mort de Jesucrist que amb el temps s’han convertit en símbols de devoció cristiana. Aquesta pintura, que es feia servir, juntament amb la seva parella, com a vexil·la de la Casa Santa, agrupa alguns d’aquests emblemes, la majoria relacionats amb la crucifixió de Crist://
* la creu on Jesús va ser crucificat, amb la inscripció INRI (inicials de *Iesus Nazarenus Rex Iudaeorum*, “Jesús de Natzaret, Rei dels Jueus” en llatí) escrita en un panell a l'extrem superior; aquesta inscripció indicava el motiu de la condemna i simbolitza el rebuig de la reialesa terrenal per part de Jesús;//
* un llençol blanc penjat de la creu, símbol del sudari amb què varen embolicar el cos de Jesús després de baixar-lo de la creu;//
* la corona d’espines que els soldats posaren sobre el cap de Jesús per burlar-se’n proclamant-lo “rei dels jueus”, símbol de sofriment i humiliació;//
* la Verge Maria i sant Joan l’Evangelista al peu de la creu, representant el dolor i la fidelitat dels deixebles de Crist;//
* els tres claus amb què Jesús va ser clavat a la creu, el martell amb què els hi clavaren i les tenalles amb què els desclavaren, que recorden el sofriment de la crucifixió i el sacrifici de Jesús;//
* la llança amb què el soldat Longí travessà el costat de Jesús per confirmar-ne la mort, símbol del sacrifici redemptor de Crist;//
* el vel de la Verònica amb la Santa Faç coronada d’espines, que recorda el sofriment de Crist durant el camí al Calvari i simbolitza la compassió davant el dolor;//
* l’espongera amb què oferiren vinagre a Jesús mentre era a la creu, símbol de la humiliació i el sofriment que patí;//
* els daus amb què els soldats romans es jugaren la roba de Jesús, fet que subratlla la humiliació que patí fins i tot en el moment de la mort;//
* una torxa encesa, semblant a les que portaven els soldats que arrestaren Jesús, i que simbolitza la foscor espiritual provocada pel pecat i la traïció;//
* el sol i la lluna, que fan referència a la foscor que, segons els evangelis, caigué sobre tota la terra durant la crucifixió.";Emblemas de la Pasión;Altar de la Piedad;"Los emblemas de la Pasión, o *Arma Christi*, son un conjunto de objetos asociados al sufrimiento y la muerte de Jesucristo que con el tiempo se han convertido en símbolos de devoción cristiana. Esta pintura, que se usaba, junto con su pareja, como vexilo de la Casa Santa, reúne algunos de estos emblemas, mayoritariamente relacionados con la crucifixión de Cristo://  * la cruz en la que Jesús fue crucificado, con la inscripción INRI (iniciales de *Iesus Nazarenus Rex Iudaeorum*, “Jesús de Nazaret, Rey de los Judíos” en latín) escrita en un panel en el extremo superior; esta inscripción indicaba el motivo de la condena y simboliza el rechazo de la realeza terrenal por parte de Jesús;//  * una sábana blanca colgada de la cruz, símbolo del sudario con el que envolvieron el cuerpo de Jesús después de bajarlo de la cruz;//  * la corona de espinas que los soldados colocaron sobre la cabeza de Jesús para burlarse de él proclamándolo “rey de los judíos”, símbolo de sufrimiento y humillación;//  * la Virgen María y san Juan Evangelista al pie de la cruz, representando el dolor y la fidelidad de los discípulos de Cristo;// * los tres clavos con los que Jesús fue clavado en la cruz, el martillo con el que los clavaron y las tenazas con las que los desclavaron, que recuerdan el sufrimiento de la crucifixión y el sacrificio de Jesús;// * la lanza con la que el soldado Longinos atravesó el costado de Jesús para confirmar su muerte, símbolo del sacrificio redentor de Cristo;// * el velo de la Verónica con la Santa Faz coronada de espinas, que recuerda el sufrimiento de Cristo durante el camino del Calvario y simboliza la compasión ante el dolor;// * la esponja con la que ofrecieron vinagre a Jesús mientras estaba en la cruz, símbolo de la humillación y el sufrimiento que padeció;// * los dados con los que los soldados romanos se jugaron a suertes la ropa de Jesús, lo que subraya la humillación que sufrió incluso en el momento de la muerte;// * una antorcha encendida, semejante a las que llevaban los soldados que arrestaron a Jesús, y que simboliza la oscuridad espiritual provocada por el pecado y la traición;// * el sol y la luna, en referencia a la oscuridad que, según los evangelios, cayó sobre toda la tierra durante la crucifixión.";;;;
